video_id,source_folder,video_name,original_video_filename,unique_video_filename,file_size_bytes,file_size_mb,file_created_at,file_modified_at,video_duration_sec,video_fps,video_resolution_wxh,video_codec,camera_model,recording_datetime,exif_filename
day_8_5_06_2026_18.1_a9bf5631,day_8_5_06_2026,18.1,18.1.MP4,day_8_5_06_2026_18.1.MP4_a9bf5631,6719307909,6408.031376838684,2026-06-09 21:17:46.040,2026-06-09 21:17:46.040,633.0,100.0,1920x1080,hvc1,HERO13 Black,2026:05:06 10:01:38,day_8_5_06_2026_18.1_a9bf5631_exif.txt
day_8_5_06_2026_18.2_6383c1fe,day_8_5_06_2026,18.2,18.2.MP4,day_8_5_06_2026_18.2.MP4_6383c1fe,10663470720,10169.478149414062,2026-06-09 21:34:31.740,2026-06-09 21:34:31.740,1005.0,100.0,1920x1080,hvc1,HERO13 Black,2026:05:06 10:15:01,day_8_5_06_2026_18.2_6383c1fe_exif.txt
day_8_5_06_2026_18.3_34b4a196,day_8_5_06_2026,18.3,18.3.MP4,day_8_5_06_2026_18.3.MP4_34b4a196,3639147637,3470.561635017395,2026-06-09 20:51:16.220,2026-06-09 20:51:16.220,343.0,100.0,1920x1080,hvc1,HERO13 Black,2026:05:06 10:40:03,day_8_5_06_2026_18.3_34b4a196_exif.txt
day_8_5_06_2026_18.4_03015ccb,day_8_5_06_2026,18.4,18.4.MP4,day_8_5_06_2026_18.4.MP4_03015ccb,1019629014,972.3940029144287,2026-06-09 21:37:23.740,2026-06-09 21:37:23.740,96.0,100.0,1920x1080,hvc1,HERO13 Black,2026:05:06 10:47:24,day_8_5_06_2026_18.4_03015ccb_exif.txt
day_8_5_06_2026_18.5_c147fdc2,day_8_5_06_2026,18.5,18.5.MP4,day_8_5_06_2026_18.5.MP4_c147fdc2,6456569192,6157.464210510254,2026-06-09 21:16:32.120,2026-06-09 21:16:32.120,609.0,100.0,1920x1080,hvc1,HERO13 Black,2026:05:06 10:49:36,day_8_5_06_2026_18.5_c147fdc2_exif.txt
day_8_5_06_2026_18.6_25f7bf68,day_8_5_06_2026,18.6,18.6.MP4,day_8_5_06_2026_18.6.MP4_25f7bf68,5759392932,5492.585117340088,2026-06-09 21:11:44.600,2026-06-09 21:11:44.600,543.0,100.0,1920x1080,hvc1,HERO13 Black,2026:05:06 11:14:39,day_8_5_06_2026_18.6_25f7bf68_exif.txt
day_8_5_06_2026_18.7_d02758ff,day_8_5_06_2026,18.7,18.7.MP4,day_8_5_06_2026_18.7.MP4_d02758ff,11542910726,11008.17749595642,2026-06-09 21:57:40.980,2026-06-09 21:57:40.980,1088.0,100.0,1920x1080,hvc1,HERO13 Black,2026:05:06 11:24:05,day_8_5_06_2026_18.7_d02758ff_exif.txt
day_8_5_06_2026_18.8_f1cbdc19,day_8_5_06_2026,18.8,18.8.MP4,day_8_5_06_2026_18.8.MP4_f1cbdc19,2715792530,2589.98158454895,2026-06-09 20:39:58.840,2026-06-09 20:39:58.840,256.0,100.0,1920x1080,hvc1,HERO13 Black,2026:05:06 11:54:49,day_8_5_06_2026_18.8_f1cbdc19_exif.txt
day_8_5_06_2026_18.9_667e9146,day_8_5_06_2026,18.9,18.9.MP4,day_8_5_06_2026_18.9.MP4_667e9146,7123221291,6793.233195304871,2026-06-09 21:20:38.520,2026-06-09 21:20:38.520,671.0,100.0,1920x1080,hvc1,HERO13 Black,2026:05:06 11:24:05,day_8_5_06_2026_18.9_667e9146_exif.txt
day_8_5_06_2026_24.1_efa200fe,day_8_5_06_2026,24.1,24.1.MP4,day_8_5_06_2026_24.1.MP4_efa200fe,10452869590,9968.633260726929,2026-06-09 21:34:13.910,2026-06-09 21:34:13.910,985.0,100.0,1920x1080,hvc1,HERO13 Black,2026:05:06 06:12:48,day_8_5_06_2026_24.1_efa200fe_exif.txt
